initial_test_tool,initial_test_generation_time,project,bug_id,test_id,boosting_time,coverage
RD,30,Closure,53,1,60,0.0
RD,30,Closure,53,2,60,0.0
RD,30,Closure,53,3,60,0.0
RD,30,Closure,54,0,60,4.69
RD,30,Closure,54,1,60,6.44
RD,30,Closure,54,2,60,7.31
RD,30,Closure,54,3,60,5.24
RD,30,Closure,54,4,60,4.04
RD,30,Closure,55,0,60,0.0
RD,30,Closure,55,1,60,0.0
RD,30,Closure,55,4,60,0.0
RD,30,Closure,56,0,60,40.0
RD,30,Closure,56,1,60,12.0
RD,30,Closure,56,2,60,22.0
RD,30,Closure,56,3,60,18.0
RD,30,Closure,56,4,60,38.0
RD,30,Closure,57,0,60,0.0
RD,30,Closure,57,1,60,3.92
RD,30,Closure,57,2,60,3.92
RD,30,Closure,57,3,60,4.9
RD,30,Closure,57,4,60,0.0
RD,30,Closure,58,1,60,0.0
RD,30,Closure,58,2,60,0.0
RD,30,Closure,58,3,60,0.0
RD,30,Closure,59,0,60,6.93
RD,30,Closure,59,1,60,5.12
RD,30,Closure,59,2,60,0.0
RD,30,Closure,59,4,60,13.55
RD,30,Closure,60,0,60,13.04
RD,30,Closure,60,1,60,10.02
RD,30,Closure,60,2,60,7.76
RD,30,Closure,60,3,60,10.78
RD,30,Closure,60,4,60,7.97
RD,30,Closure,61,0,60,15.26
RD,30,Closure,61,1,60,14.72
RD,30,Closure,61,2,60,12.23
RD,30,Closure,61,3,60,11.36
RD,30,Closure,61,4,60,4.33
RD,30,Closure,62,0,60,25.0
RD,30,Closure,62,1,60,25.0
RD,30,Closure,62,2,60,25.0
RD,30,Closure,62,3,60,25.0
RD,30,Closure,62,4,60,25.0
RD,30,Closure,64,0,60,4.63
RD,30,Closure,64,1,60,0.0
RD,30,Closure,64,2,60,5.86
RD,30,Closure,64,3,60,13.58
RD,30,Closure,64,4,60,6.48
RD,30,Closure,65,0,60,7.98
RD,30,Closure,65,1,60,4.66
RD,30,Closure,65,2,60,5.32
RD,30,Closure,65,3,60,8.43
RD,30,Closure,65,4,60,2.66
RD,30,Closure,66,1,60,0.0
RD,30,Closure,66,2,60,0.0
RD,30,Closure,66,3,60,0.0
RD,30,Closure,66,4,60,0.0
RD,30,Closure,67,0,60,0.68
RD,30,Closure,67,2,60,6.8
RD,30,Closure,67,3,60,5.44
RD,30,Closure,68,0,60,3.74
RD,30,Closure,68,1,60,9.85
RD,30,Closure,68,2,60,4.24
RD,30,Closure,68,3,60,4.24
RD,30,Closure,68,4,60,4.24
RD,30,Closure,69,1,60,0.0
RD,30,Closure,69,3,60,0.0
RD,30,Closure,69,4,60,0.0
RD,30,Closure,70,1,60,0.64
RD,30,Closure,70,2,60,0.0
RD,30,Closure,70,4,60,0.16
RD,30,Closure,71,4,60,0.0
RD,30,Closure,72,0,60,0.0
RD,30,Closure,72,1,60,0.0
RD,30,Closure,72,2,60,0.0
RD,30,Closure,72,3,60,0.0
RD,30,Closure,73,0,60,5.79
RD,30,Closure,73,1,60,0.22
RD,30,Closure,73,2,60,8.24
RD,30,Closure,73,3,60,2.23
RD,30,Closure,73,4,60,4.01
RD,30,Closure,74,0,60,0.48
RD,30,Closure,74,1,60,0.0
RD,30,Closure,74,4,60,0.0
RD,30,Closure,75,0,60,11.65
RD,30,Closure,75,1,60,15.34
RD,30,Closure,75,2,60,10.41
RD,30,Closure,75,3,60,7.39
RD,30,Closure,75,4,60,9.29
RD,30,Closure,76,3,60,0.0
RD,30,Closure,77,0,60,7.36
RD,30,Closure,77,1,60,2.76
RD,30,Closure,77,2,60,8.51
RD,30,Closure,77,3,60,4.83
RD,30,Closure,77,4,60,3.68
RD,30,Closure,78,2,60,0.52
RD,30,Closure,79,0,60,0.0
RD,30,Closure,79,1,60,0.0
RD,30,Closure,79,2,60,0.0
RD,30,Closure,79,3,60,0.0
RD,30,Closure,79,4,60,0.0
RD,30,Closure,80,0,60,11.16
RD,30,Closure,80,1,60,11.84
RD,30,Closure,80,2,60,12.97
RD,30,Closure,80,3,60,13.53
RD,30,Closure,80,4,60,14.77
RD,30,Closure,81,1,60,0.0
RD,30,Closure,82,0,60,23.42
RD,30,Closure,82,1,60,22.78
RD,30,Closure,82,2,60,23.42
RD,30,Closure,82,3,60,31.65
RD,30,Closure,82,4,60,33.54
RD,30,Closure,83,1,60,18.92
RD,30,Closure,83,3,60,0.0
RD,30,Closure,83,4,60,13.89
RD,30,Closure,84,1,60,0.0
RD,30,Closure,84,3,60,4.92
RD,30,Closure,85,0,60,0.0
RD,30,Closure,85,1,60,0.0
RD,30,Closure,85,2,60,5.45
RD,30,Closure,85,4,60,0.0
RD,30,Closure,86,0,60,7.62
RD,30,Closure,86,1,60,13.16
RD,30,Closure,86,2,60,10.53
RD,30,Closure,86,3,60,9.14
RD,30,Closure,86,4,60,13.43
RD,30,Closure,87,1,60,0.31
RD,30,Closure,87,2,60,0.31
RD,30,Closure,87,3,60,0.31
RD,30,Closure,87,4,60,0.31
RD,30,Closure,88,4,60,0.0
RD,30,Closure,89,0,60,0.0
RD,30,Closure,89,1,60,1.91
RD,30,Closure,89,3,60,0.0
RD,30,Closure,89,4,60,0.57
RD,30,Closure,90,1,60,12.6
RD,30,Closure,90,2,60,6.3
RD,30,Closure,90,3,60,6.11
RD,30,Closure,90,4,60,12.4
RD,30,Closure,91,0,60,5.41
RD,30,Closure,91,3,60,6.76
RD,30,Closure,92,0,60,1.16
RD,30,Closure,92,2,60,1.16
RD,30,Closure,94,0,60,12.24
RD,30,Closure,94,1,60,11.63
RD,30,Closure,94,2,60,15.86
RD,30,Closure,94,3,60,14.05
