initial_test_tool,initial_test_generation_time,project,bug_id,test_id,boosting_time,coverage
RD,30,Closure,94,0,60,14.0
RD,30,Closure,94,1,60,16.29
RD,30,Closure,94,2,60,19.48
RD,30,Closure,94,3,60,16.13
RD,30,Closure,94,4,60,15.07
RD,30,Closure,95,0,60,0.0
RD,30,Closure,95,1,60,0.0
RD,30,Closure,95,3,60,0.0
RD,30,Closure,95,4,60,0.0
RD,30,Closure,96,0,60,0.0
RD,30,Closure,96,1,60,4.67
RD,30,Closure,96,2,60,0.0
RD,30,Closure,96,3,60,0.0
RD,30,Closure,96,4,60,0.0
RD,30,Closure,97,1,60,0.0
RD,30,Closure,97,2,60,0.0
RD,30,Closure,97,4,60,0.0
RD,30,Closure,98,2,60,0.0
RD,30,Closure,98,3,60,3.15
RD,30,Closure,98,4,60,0.0
RD,30,Closure,99,0,60,0.0
RD,30,Closure,99,2,60,3.45
RD,30,Closure,99,3,60,0.0
RD,30,Closure,99,4,60,3.45
RD,30,Closure,100,0,60,0.0
RD,30,Closure,100,3,60,0.0
RD,30,Closure,101,1,60,12.5
RD,30,Closure,101,2,60,12.5
RD,30,Closure,101,3,60,12.5
RD,30,Closure,101,4,60,4.0
RD,30,Closure,103,0,60,0.19
RD,30,Closure,103,1,60,0.19
RD,30,Closure,103,2,60,4.46
RD,30,Closure,103,3,60,3.88
RD,30,Closure,103,4,60,1.36
RD,30,Closure,104,0,60,6.45
RD,30,Closure,104,1,60,7.26
RD,30,Closure,104,2,60,9.68
RD,30,Closure,104,3,60,2.42
RD,30,Closure,104,4,60,16.94
RD,30,Closure,105,0,60,0.0
RD,30,Closure,105,1,60,0.0
RD,30,Closure,105,3,60,0.0
RD,30,Closure,105,4,60,0.27
RD,30,Closure,106,0,60,7.59
RD,30,Closure,106,1,60,0.46
RD,30,Closure,106,2,60,0.46
RD,30,Closure,106,3,60,9.2
RD,30,Closure,106,4,60,0.0
RD,30,Closure,107,0,60,0.0
RD,30,Closure,107,1,60,20.0
RD,30,Closure,107,3,60,1.43
RD,30,Closure,107,4,60,0.0
RD,30,Closure,108,0,60,0.0
RD,30,Closure,108,1,60,9.33
RD,30,Closure,108,2,60,0.0
RD,30,Closure,109,0,60,4.53
RD,30,Closure,109,1,60,0.14
